MACHINE_ID,FAILURE,DAILY_PRODUCTION,MONTHLY_PRODUCTION,PROD_TARGET,REASON,MONTHS_IN_OPERATION,NEGATIVE_RATING,DAYS_OUT_OF_SERVICE,MACHINE_AGE,SENSOR_INQUIRIES,NUM_SENSORS,SENSOR_RATIO,INDUSTRY
404640,1,2500,15000,20200,TruckPr,18,0,0,136.0666667,1,19,,
448533,1,2500,25116,36350,TruckPr,10,1,2,276.9666667,0,9,,Other
972798,0,2500,7229,44516,TruckPr,,0,0,208,0,12,,INDUSTRIAL
508707,0,2500,71408,78600,TruckPr,8,0,0,255.7333333,0,12,,GOVERNMENT
175578,1,2800,50795,63100,TruckPr,26,2,15,145.6333333,3,45,,INDUSTRIAL
744224,1,2800,4000,60850,TruckPr,16,4,0,112.6333333,2,9,,Other
879420,1,2900,78600,113000,CarProd,6,1,0,165.3333333,2,26,,GOVERNMENT
550535,0,2900,103949,112505,TruckPr,1,0,0,96.10232967,0,13,30.05113629,FLEET
894653,0,2900,104373,120702,TruckPr,2,0,0,101.5402975,0,13,29.91585903,FLEET
715835,1,2900,7750,67996,TruckPr,16,3,0,122.2046628,2,8,36.211348,Other
430036,1,2900,61962,70915,CarProd,2,0,0,282.8016592,3,37,49.20639579,COMMERCIAL
537810,0,3000,104570,121729,TruckPr,2,0,0,85.8843719,0,14,32.05978327,FLEET
336121,1,3000,7000,20300,TruckPr,3,0,0,50.8,5,9,,Other
709304,1,3000,,8800,TruckPr,2,0,1,77.76666667,0,3,,Other
662683,1,3000,,33000,TruckPr,1,0,1,23.3,1,2,,Other
739237,1,3000,119826,193500,TruckPr,8,0,0,130.0333585,0,27,,Other
421916,1,3000,20000,29750,CarProd,2,0,0,187.0666667,0,12,,Other
972188,1,3000,,14500,TruckPr,3,0,0,9.3,14,2,,Other
143221,1,3000,,14100,TruckPr,1,0,0,104.2,0,19,,Other
578925,1,3000,47000,82700,TruckPr,10,0,1,262.1666667,5,26,,GOVERNMENT
399947,1,3000,34542,45900,TruckPr,8.5,0,2,62.36666667,0,10,,COMMERCIAL
118423,0,3000,58000,71500,TruckPr,10,,2,211.9333333,0,25,,COMMERCIAL
444941,0,3000,47000,56400,TruckPr,21,0,0,201.8666667,0,20,,FLEET
473967,1,3100,39589,36100,TruckPr,1.5,0,0,153.1666667,1,14,,Other
661429,0,3100,,70400,,,,,,,,,
132473,0,3200,67848,74566,TruckPr,10,,1,206.4266021,0,25,40.11567728,COMMERCIAL
916288,1,3200,48603,61000,TruckPr,28,0,4,122.0333333,1,25,,GOVERNMENT
529102,1,3200,27200,40834,TruckPr,,0,0,298.131564,0,7,35.55353879,Other
792167,1,3200,54000,64850,TruckPr,1,0,0,121.8666667,3,21,,Other
870126,0,3200,74864,87266,TruckPr,7,0,0,250.6312692,0,12,42.90999735,GOVERNMENT
319278,1,3200,23159,,TruckPr,20,,2,117.8057478,0,9,0.524499215,COMMERCIAL
508442,1,3300,126541,134527,TruckPr,9,1,0,139,0,36,,FARMING
42978,1,3300,130518,164317,CarProd,9,0,6,192.289149,0,33,35.73055919,Other
397680,1,3400,37000,52000,TruckPr,2,0,1,183.2999156,0,6,,FLEET
71594,1,3500,23200,38666,TruckPr,11,0,0,162.3666667,0,14,,Other
738533,1,3500,19400,20494,TruckPr,5,0,0,95.93333333,0,9,,Other
834247,1,3600,61584,61800,TruckPr,10,,,,,,,GOVERNMENT
754252,1,3600,41900,52490,TruckPr,3,0,0,72.03333333,2,4,,COMMERCIAL
267408,0,3600,83700,111800,TruckPr,6,0,0,192.7333333,1,28,,GOVERNMENT
186440,0,3600,61327,76484,TruckPr,9,,2,202.5107752,0,25,41.5163897,COMMERCIAL
439212,0,3600,100693,114743,TruckPr,6,0,0,88.47045214,0,14,29.39354338,FLEET
406353,1,3600,48507,61000,CarProd,13,1,4,97.4,0,17,,FLEET
492863,0,3600,52337,63989,TruckPr,20,0,0,204.2724988,0,20,20.47091551,FLEET
346114,1,3700,17857,21144,TruckPr,5,0,0,129.7173231,1,9,26.63434752,Other
298451,1,3800,19135,97692,TruckPr,1.6,1,6,252.6333333,1,25,,COMMERCIAL
255386,0,3800,51180,63459,TruckPr,20,0,0,203.7515336,0,20,20.06704205,FLEET
181196,0,3800,,73189,,,,,,,,22.25394916,
200480,0,3800,11543,46045,TruckPr,,0,0,204.6479917,0,11,42.17316588,INDUSTRIAL
488964,1,3900,29896,45960,TruckPr,11,0,0,146.1232422,0,14,24.47888119,Other
440609,1,3900,14500,22092,TruckPr,3.5,0,1,150.3,5,8,,Other
518518,0,3900,52825,63000,CarProd,8,0,4,171.6666667,1,31,,GOVERNMENT
933147,0,3900,102143,118742,TruckPr,2,0,0,85.27736558,0,13,29.34392109,FLEET
383906,1,3900,21200,39000,CarProd,4,0,1,86.56666667,2,14,,COMMERCIAL
103002,0,4000,105164,112774,TruckPr,1,0,0,94.72487417,0,13,29.39092806,FLEET
745613,0,4000,54543,61777,TruckPr,21,0,0,205.58668,0,19,21.80656346,FLEET
800193,1,4000,,80609,TruckPr,1.5,0,2,126.5333333,3,12,,Other
913462,1,4000,26572,31960,TruckPr,11,0,0,117.7951039,0,8,41.28649195,FLEET
587169,1,4000,17000,52012,TruckPr,22,3,1,85.33333333,1,9,,GOVERNMENT
849156,1,4000,29562,37200,CarProd,6,0,0,92.13333333,1,26,,Other
602801,1,4000,41700,76725,TruckPr,0.5,0,3,136.1333333,0,15,,Other
668560,1,4000,58000,69440,TruckPr,3.5,0,1,168.6666667,0,18,,Other
686445,1,4000,5700,18000,CarProd,,0,0,12.2,0,17,,Other
390722,1,4000,45000,58350,TruckPr,3.5,0,0,162,3,16,,COMMERCIAL
475848,1,4000,7000,16020,TruckPr,18,0,1,85.8,2,23,,Other
651333,0,4000,66000,79050,TruckPr,1.8,2,0,279,1,6,,Other
227294,0,4000,,45760,TruckPr,0,0,0,,0,0,,
647072,0,4000,62000,78000,TruckPr,4,0,0,109.5666667,0,15,,Other
454849,0,4000,64240,63990,TruckPr,5,2,0,160.3,1,23,,FARMING
580043,1,4000,74000,93000,TruckPr,2.6,1,3,186.6333333,,9,,GOVERNMENT
343776,1,4000,55000,59000,CarProd,12,2,0,146.1,0,22,,Other
498602,0,4000,67625,80698,TruckPr,11,,1,212.3493039,0,25,39.12871763,COMMERCIAL
60895,0,4000,67533,71865,TruckPr,10,,2,227.7929884,0,25,39.1663287,COMMERCIAL
381363,1,4100,,19132,TruckPr,0,0,0,100.7746522,0,19,33.8409199,Other
308773,1,4100,58500,65000,TruckPr,8,1,2,63.93333333,2,15,,Other
547257,0,4100,57992,63797,CarProd,7,0,4,165.505037,1,31,22.27817437,GOVERNMENT
405529,0,4200,56544,59218,TruckPr,19,0,0,211.0025991,1,20,19.02770443,FLEET
55491,1,4200,34800,50225,TruckPr,2,1,0,93.5,1,5,,Other
360452,0,4200,67700,77000,CarProd,4,0,0,128.8333333,0,31,,FARMING
364822,0,4200,44000,55085,CarProd,6,,1,75.43333333,,16,,
789234,0,4200,66272,82953,TruckPr,3,0,0,110.2786626,0,15,43.45058791,Other
450516,0,4200,50216,58541,TruckPr,19,0,0,209.8713022,0,19,20.20803267,FLEET
497580,0,4300,71206,78698,CarProd,3,0,0,129.932869,0,31,34.18137652,FARMING
508517,0,4300,68815,79852,TruckPr,6,0,0,105.1207088,0,14,41.80637615,Other
17192,0,4300,72021,80027,TruckPr,2,2,0,263.9703003,0,5,36.43209394,Other
753872,0,4400,53969,63869,CarProd,7,0,3,162.3900107,0,30,23.58107924,GOVERNMENT
842576,0,4400,,60250,,,,,,,,,
137223,1,4400,53091,64074,CarProd,14,1,3,89.86105825,0,17,39.15808483,FLEET
82979,0,4500,66127,79087,TruckPr,4,1,0,81.3490651,0,15,40.70530876,Other
979356,0,4500,,77182,,,,,,,,25.2272529,
358837,1,4500,39000,66000,TruckPr,1,0,0,170.3666667,1,19,,Other
502557,0,4500,71082,79247,TruckPr,4,0,0,118.7604101,0,14,41.42111052,Other
775667,0,4500,,49044,TruckPr,0,0,0,,0,0,11.6527388,
275691,1,4500,57000,,TruckPr,5,,,222.6,1,13,,Other
785585,1,4500,34184,46000,TruckPr,3.5,0,1,122.6,2,22,,COMMERCIAL
427310,1,4500,66517,87000,CarProd,10,0,4,125.8,0,34,,GOVERNMENT
761922,0,4500,45500,50000,TruckPr,6,0,0,86.16666667,0,18,,Other
715708,1,4500,118000,146870,TruckPr,4.5,2,0,203.8666667,1,20,,GOVERNMENT
100729,1,4500,90000,105800,TruckPr,6,2,3,80.1,3,10,,Other
953912,0,4700,67913,97205,,2,0,0,142.8243915,0,24,35.22699719,COMMERCIAL
624741,0,4700,71855,88566,TruckPr,2,2,0,283.9595381,0,5,36.47547328,Other
507462,0,4700,53918,59511,CarProd,6,,0,54.13647743,,15,34.41650781,
777768,1,4700,49100,58238,TruckPr,0.1,0,0,61.8,2,17,,GOVERNMENT
479781,0,4700,88026,115506,TruckPr,6,0,0,182.2483316,0,27,29.20902258,GOVERNMENT
281564,1,4700,26900,45000,TruckPr,9,1,2,90.46666667,1,16,,GOVERNMENT
822035,0,4800,67317,97191,,3,0,0,137.3197248,0,23,34.27529378,COMMERCIAL
774664,0,4800,56067,63102,CarProd,9,0,3,160.1463113,1,30,21.58376012,GOVERNMENT
450770,0,4800,80482,88342,TruckPr,7,0,0,275.0323948,0,11,43.71763511,GOVERNMENT
675671,0,4900,58688,63348,CarProd,9,0,3,179.1625747,2,31,22.54439284,GOVERNMENT
196995,0,4900,65873,90408,,2,0,0,141.858999,0,23,37.76961861,COMMERCIAL
360905,1,4900,25597,23031,TruckPr,5,0,0,101.7467664,0,8,33.24315698,Other
349003,0,4900,67794,84630,TruckPr,4,0,0,112.5734189,0,15,41.67399636,Other
634292,1,4900,44000,59745,TruckPr,10,0,0,81.5,3,13,,Other
182837,0,4900,,28437.5,TruckPr,,,,,,,,
281328,0,4900,170986,245300,CarProd,,0,0,131.9333333,0,22,,FARMING
18640,1,4900,65576,65774,TruckPr,6,1,2,61.64250608,1,14,40.59091002,Other
183724,0,4900,57461,68494,CarProd,8,0,4,183.6356132,0,30,22.79542355,GOVERNMENT
240804,0,4900,,69706,,,,,,,,33.70558774,
742122,0,5000,,34846,TruckPr,,,,,,,33.35465263,
333471,0,5000,47479,61690,CarProd,5,,0,65.03296901,,16,36.69941492,
270929,0,5000,66839,87168,TruckPr,4,0,0,122.5972226,0,15,40.61677935,Other
138171,0,5000,12457,53448,TruckPr,,0,0,207.1434813,0,12,44.10795169,INDUSTRIAL
147946,0,5000,90059,113714,TruckPr,7,0,0,193.6364469,0,28,25.89731648,GOVERNMENT
792105,1,5000,22320,34900,TruckPr,10,0,0,65.7,1,5,,Other
622727,1,5000,40000,70500,TruckPr,0.4,0,0,61.76666667,2,8,,COMMERCIAL
69613,1,5000,100882,102700,TruckPr,5,0,1,58.86666667,0,16,,COMMERCIAL
317583,1,5000,31000,47350,TruckPr,12,,,,,,,GOVERNMENT
36722,1,5000,63125,126500,TruckPr,3,0,0,100.3,0,14,,FLEET
657697,1,5000,100000,129693.5,TruckPr,13,,,,,,,COMMERCIAL
834157,1,5000,,132000,TruckPr,17.5,0,2,121.9,0,14,,Other
196877,1,5000,,9100,TruckPr,1,0,0,54.73333333,2,8,,Other
242053,1,5000,34200,50830,TruckPr,6,0,0,57,1,9,,Other
533418,1,5000,,71277,TruckPr,10,0,0,72.43333333,1,12,,Other
763211,1,5000,123000,157500,TruckPr,9,,,,,,,COMMERCIAL
46732,1,5000,16600,25250,TruckPr,6,0,0,88.7,1,3,,Other
688481,1,5000,,52000,TruckPr,,0,1,285.3333333,0,6,,Other
789293,1,5000,22700,34225,TruckPr,4,0,0,74.63333333,3,9,,Other
719622,1,5000,6000,38575,TruckPr,7,0,1,335.0333333,3,42,,INDUSTRIAL
489969,1,5000,,74500,TruckPr,19,,,,,,,Other
160245,1,5000,,94119,TruckPr,19,,,,,,,Other
158499,0,5000,73126,87500,CarProd,1,0,0,125.9666667,2,10,,Other
653958,0,5000,72517,86250,CarProd,19,0,1,300.3666667,1,24,,COMMERCIAL
879683,0,5000,26037,35000,TruckPr,12,0,0,182.6333333,0,13,,GOVERNMENT
858567,0,5000,39000,50340,TruckPr,10,,,179.8333333,,19,,FLEET
206338,0,5000,,26550,CarProd,1.7,0,0,276.9666667,1,14,,Other
176346,0,5000,70470,77908,CarProd,5,,,,,,,
753607,0,5000,,36375,TruckPr,3,0,0,266.8,1,26,,Other
315137,0,5000,74225,89640,CarProd,0.3,,,,,,,GOVERNMENT
763677,0,5000,,65400,TruckPr,1.5,0,0,51.76666667,0,4,,FLEET
479858,1,5000,,37500,TruckPr,,0,3,107.1333333,10,5,,Other
207367,0,5000,78565,98500,CarProd,24,0,0,51.76666667,3,14,,GOVERNMENT
881984,0,5000,59900,80800,CarProd,15,0,0,219.1333333,1,18,,GOVERNMENT
952309,1,5000,10171,26809,TruckPr,13,3,6,228.3,0,24,,FLEET
578775,1,5000,78893,82600,TruckPr,16,0,0,133.9,1,34,,COMMERCIAL
760212,1,5000,85165,107940,TruckPr,6,5,3,122.7666667,5,28,,COMMERCIAL
193520,1,5000,68000,75616,CarProd,0.1,0,0,131.8666667,0,30,,GOVERNMENT
120783,1,5000,71571,85100,CarProd,1.4,0,1,82.13333333,0,13,,GOVERNMENT
414632,1,5000,28000,36810,CarProd,2,1,0,222.2,1,6,,Other
693263,1,5000,40000,32480,TruckPr,8,3,2,163.3666667,1,16,,Other
856789,1,5000,81748,,CarProd,14,1,2,144.0666667,2,17,,GOVERNMENT
32451,0,5000,44674,59375,TruckPr,10,,,178.6925087,,19,26.44819746,FLEET
598825,1,5000,61999,75021.3,TruckPr,5,0,0,97.1,0,23,,Other
649090,0,5000,80153,97275,CarProd,1,0,0,120.6750632,2,10,37.51270841,Other
350105,0,5000,68739,93435,,3,0,0,148.7204047,0,23,36.66927861,COMMERCIAL
490438,0,5000,51209,55320,CarProd,5,,1,69.1074656,,15,35.02507297,
299286,1,5000,46696,85202,TruckPr,2,1,2,148.3406455,0,14,46.489874,Other
866700,0,5000,,46281,TruckPr,2,0,0,257.6522064,0,26,40.95258888,Other
343163,0,5000,66435,82819,TruckPr,2,0,0,125.1306256,0,14,42.18353867,Other
516541,0,5100,179725,251962,CarProd,,0,0,127.4988134,0,22,40.30825936,FARMING
817200,0,5100,85583,115341,TruckPr,7,0,0,177.9582551,1,28,26.25797013,GOVERNMENT
975737,0,5100,72891,80691,TruckPr,1,1,0,273.8817052,0,6,39.85214652,Other
295832,1,5100,30755,46735,TruckPr,10,0,0,69,0,17,,Other
454767,0,5100,,26715,CarProd,1,0,0,258.7892976,0,14,26.72234334,Other
862680,0,5100,87258,121382,TruckPr,6,0,0,181.6630402,0,28,25.44475915,GOVERNMENT
437680,0,5100,,28291,CarProd,2,0,0,277.9445608,1,14,23.64469128,Other
903039,1,5100,9900,30451,TruckPr,11,0,0,21.2,0,2,,Other
213701,0,5100,93000,116875,TruckPr,10,,,417.6333333,2,50,,Other
601385,1,5100,15500,34000,CarProd,0,1,2,86.23333333,2,13,,Other
982211,1,5100,129319,141875,TruckPr,7,1,0,157.8598021,0,36,25.65074122,FARMING
659920,0,5100,66834,87361,TruckPr,0,2,0,290.034108,0,6,38.76698507,Other
524784,0,5100,73882,96031,CarProd,0,0,0,125.7874001,1,10,34.44607922,Other
190600,0,5100,74071,97064,CarProd,0,0,0,121.0759726,2,9,36.40172955,Other
498110,0,5100,62702,79784,TruckPr,2,0,0,108.0725908,0,15,43.29013982,Other
146301,0,5200,,36425,CarProd,2,0,0,266.8134646,1,14,23.79740106,Other
61553,0,5200,67000,77000,TruckPr,9,0,1,119.7,0,25,,Other
312833,0,5200,43039,53521,TruckPr,11,,,184.2966873,,19,24.41476318,FLEET
291516,0,5200,19000,26000,CarProd,0,1,0,17.2,10,7,,Other
325242,1,5200,,9500,CarProd,1,0,1,81.1,1,2,,Other
849391,0,5200,91250,110000,TruckPr,24,0,0,123.7666667,1,12,,FLEET
581247,0,5200,16324,45187,TruckPr,,0,0,221.1180817,0,11,42.71209384,INDUSTRIAL
852638,1,5200,40564,39527,TruckPr,0,0,0,157.7710357,1,13,72.67043331,Other
692733,0,5300,73698,84427,CarProd,4,,,,,,19.13120118,
928318,0,5300,66987,65111,TruckPr,4,1,0,175.3287038,1,22,40.44257039,FARMING
925087,1,5300,26908,36078,TruckPr,,0,0,302.3587095,0,8,39.1969854,Other
107738,0,5300,,49396,TruckPr,0,0,0,,0,0,12.04367058,
553668,0,5300,44993,50673,TruckPr,7,,,184.7427672,,18,27.90612273,FLEET
660687,1,5300,51000,64000,TruckPr,10,1,0,98.33333333,0,12,,COMMERCIAL
682339,0,5300,75958,91703,CarProd,0,0,0,124.1821788,1,10,34.59906019,Other
351866,0,5300,97132,117343,TruckPr,22,0,0,109.9339079,1,11,35.8385427,FLEET
541478,0,5300,60826,80826,TruckPr,10,,1,212.8917461,0,25,38.59149403,COMMERCIAL
207541,0,5300,83552,96809,CarProd,0,,,,,,28.42396191,GOVERNMENT
343214,0,5300,47449,63895,TruckPr,19,0,0,208.162714,0,20,19.7621137,FLEET
566036,0,5300,50934,62957,TruckPr,21,0,0,197.2419573,0,20,19.35050563,FLEET
560958,0,5400,53429,64505,CarProd,5,,0,69.54243011,,16,36.4802363,
908244,0,5400,,65474,TruckPr,1,0,0,40.709849,0,4,37.84877104,FLEET
865644,0,5400,47844,52040,TruckPr,8,,,189.0343046,,18,24.70113626,FLEET
970104,1,5400,45509,57453,CarProd,4,0,0,95.6,0,22,,FARMING
238493,1,5400,59720,63450,TruckPr,5,0,1,199.9,1,20,,GOVERNMENT
490127,0,5400,86922,119846,TruckPr,5,0,0,185.0763473,1,28,26.3548893,GOVERNMENT
887743,0,5400,68625,82304,CarProd,2,0,0,136.6329442,0,30,32.05002349,FARMING
865180,0,5400,65814,85848,TruckPr,4,0,0,122.9402886,0,15,44.09232568,Other
65752,0,5400,,75254,,,,,,,,23.16374295,
778048,1,5400,78300,88000,TruckPr,8,0,0,102.5,3,19,,GOVERNMENT
188892,0,5400,48152,55760,CarProd,6,,0,78.45212577,,16,35.763638,
415341,0,5500,70481,82446,TruckPr,8,0,1,116.5919769,0,24,37.61268272,Other
528186,0,5500,,35402,TruckPr,,,,,,,35.27207374,
39820,0,5500,87765,101053,CarProd,22,0,0,55.55804904,2,13,31.37554242,GOVERNMENT
283113,0,5500,52897,65054,TruckPr,20,0,0,189.2953185,0,19,20.6541289,FLEET
218078,1,5500,24700,35675,CarProd,1,0,3,153.9333333,3,27,,Other
338834,1,5500,,43132,TruckPr,,,,,,,,Other
198954,0,5500,43486,81600,CarProd,4,0,0,216.1333333,4,30,,
773457,1,5500,21359,30000,CarProd,7,3,2,130.8,3,14,,Other
898898,1,5500,,13770,TruckPr,5,0,1,167.3666667,1,8,,COMMERCIAL
329752,0,5500,93051,115374,TruckPr,6,0,0,187.0205188,1,27,27.64674851,GOVERNMENT
728572,0,5500,87438,116679,TruckPr,6,0,0,186.424416,1,27,28.4175309,GOVERNMENT
746942,0,5500,78059,78179,CarProd,5,,,,,,20.67931358,
195739,0,5500,72147,69918,TruckPr,4,2,0,158.5344979,0,23,43.40443024,FARMING
80948,1,5500,40584,46645,TruckPr,4,0,1,136.3206375,0,13,34.49470897,Other
857416,1,5500,,12972,TruckPr,1,0,1,82.29426635,0,2,36.9867441,Other
296097,1,5500,37368,48502,TruckPr,9,0,2,48.995845,0,10,33.12648397,COMMERCIAL
208626,0,5500,,66251,TruckPr,1,0,0,43.72233695,0,3,41.45204353,FLEET
471572,0,5500,71644,72696,TruckPr,4,2,0,150.8658451,0,22,40.44256779,FARMING
846098,1,5500,85845,122205,CarProd,5,0,0,172.2132767,1,26,32.67664088,GOVERNMENT
340688,0,5600,53793,66379,TruckPr,22,0,0,206.0991341,0,19,18.36954053,FLEET
735593,0,5600,69435,83489,CarProd,14,0,0,200.418434,1,17,22.84109285,GOVERNMENT
917259,0,5600,29648,39907,TruckPr,11,0,0,180.5630691,0,13,21.55494966,GOVERNMENT
529072,0,5600,76407,77485,TruckPr,9,0,0,91.68377063,0,24,37.77335098,Other
447656,1,5600,5000,66700,TruckPr,31,1,1,204.0666667,0,11,,Other
836182,1,5600,55160,86800,TruckPr,3,1,1,148.1333333,1,14,,Other
539795,0,5600,41439,53893,TruckPr,8,,,181.3229899,,19,24.65139574,FLEET
914673,0,5600,15275,47954,TruckPr,,0,0,204.335245,0,12,42.39776964,INDUSTRIAL
70132,0,5700,100934,111496,TruckPr,23,0,0,117.4995929,0,12,38.75056267,FLEET
524152,0,5700,,74685,,,,,,,,24.27486528,
143481,0,5700,49514,58249,TruckPr,21,0,0,212.5391151,0,21,21.25802688,FLEET
594232,0,5700,76948,85753,TruckPr,7,0,0,128.4764515,0,25,37.85968784,Other
810232,0,5700,28127,36524,TruckPr,10,0,0,181.2829568,0,13,24.33953357,GOVERNMENT
155553,0,5700,,68591,TruckPr,0,0,0,69.64566047,0,4,41.18503956,FLEET
871618,0,5700,26927,35461,CarProd,0,1,0,21.79935215,10,6,29.43966424,Other
102775,0,5700,49806,82242,CarProd,3,0,0,210.3474786,3,30,31.2434087,
549916,1,5700,70000,84579,CarProd,0.1,0,0,95.9,1,17,,FARMING
135846,1,5700,58400,75000,TruckPr,4,0,0,177.5,2,26,,GOVERNMENT
564575,1,5700,80437,109647,TruckPr,9.5,0,0,104.4,0,14,,GOVERNMENT
738320,1,5700,77213,92661,CarProd,0,0,0,97.13317095,1,16,41.77788863,FARMING
974387,0,5700,62319,82923,TruckPr,4,0,0,117.6739652,0,15,42.46486629,Other
247429,0,5700,71556,79538,TruckPr,2,0,0,92.64308456,0,15,41.21001247,Other
364523,0,5700,,39052,TruckPr,3,0,0,272.2206283,0,25,39.89610462,Other
571591,1,5700,74172,79846,CarProd,0,0,0,157.0097747,0,28,47.41522866,GOVERNMENT
851533,0,5700,28116,33450,CarProd,0,1,0,15.39658739,9,7,30.0170133,Other
806215,0,5700,,64910,,,,,,,,33.85046122,
83678,0,5700,,69172,TruckPr,1,0,0,48.85366706,0,3,38.77368596,FLEET
19200,0,5800,,36385,TruckPr,2,0,0,266.5533944,1,25,43.30976454,Other
298626,0,5800,,41119,TruckPr,2,0,0,261.4052186,0,26,42.19194156,Other
370199,0,5800,75000,90543,CarProd,18,0,0,300.4872058,1,23,38.94057536,COMMERCIAL
806939,0,5800,79296,86885,CarProd,19,0,1,307.9748816,1,23,39.95910877,COMMERCIAL
28424,1,5800,27791,46833,CarProd,3,0,0,83.28906275,1,13,30.18780539,COMMERCIAL
293300,0,5800,172595,250155,CarProd,,0,0,126.4009836,0,21,43.20775979,FARMING
146426,0,5800,,34704,TruckPr,,,,,,,34.17405555,
437084,0,5800,,73804,TruckPr,1,0,0,71.76655716,0,4,41.28742339,FLEET
674850,0,5800,46595,58191,TruckPr,5,0,0,80.13174641,0,17,24.14015367,Other
101543,1,5900,,28000,CarProd,1,2,1,36.76666667,1,8,,INDUSTRIAL
630243,0,5900,70973,77989,TruckPr,7,0,0,120.3794143,0,24,41.44250046,Other
957355,1,5900,,33100,TruckPr,,0,0,238.6,1,2,,Other
821836,0,5900,,51189,TruckPr,1,0,0,,0,0,12.74918065,
616644,0,5900,82912,91175,CarProd,2,,,,,,27.59527352,GOVERNMENT
378029,1,5900,25972,41856,CarProd,2,0,2,157.9600114,3,27,40.62827818,Other
398720,0,5900,74187,78976,TruckPr,9,0,1,118.442491,0,24,40.11040743,Other
838545,0,5900,,66903,,,,,,,,32.78292683,
866578,1,5900,106650,,CarProd,1,0,6,250.5666667,4,23,,COMMERCIAL
213508,0,6000,,69492,,,,,,,,32.97719723,
466786,0,6000,95232,115977,TruckPr,22,0,0,149.0229081,1,12,37.95433691,FLEET
239883,1,6000,47625,85925,TruckPr,0.1,2,1,154.1333333,4,26,,FLEET
45501,1,6000,24600,30500,TruckPr,4.5,0,1,116.1,8,34,,Other
436518,1,6000,65000,94355,,26,1,3,69.3,1,34,,Other
599854,1,6000,,,TruckPr,13,,2,122.7666667,,23,,FLEET
461199,1,6000,33600,,TruckPr,2,0,0,140.9333333,1,20,,Other
116053,1,6000,42000,58305,CarProd,19,0,0,90,2,13,,Other
219332,1,6000,32446,54904,TruckPr,2,0,0,51.73333333,1,9,,Other
504403,1,6000,9660,35900,CarProd,8,0,1,136.3,3,6,,Other
827245,1,6000,22859,32200,CarProd,4,0,0,83.33333333,3,20,,Other
394882,1,6000,16878,25850,,1,0,1,218.6,5,34,,COMMERCIAL
734237,0,6000,72951,80000,TruckPr,22.8,0,0,343.9,1,47,,Other
712351,0,6000,43000,57460,TruckPr,1.6,1,,101.5,,13,,Other
250157,0,6000,53500,64790,CarProd,0.1,0,2,105.4,3,18,,Other
411912,0,6000,69876,94394.07,TruckPr,0,0,1,179.5666667,0,32,,Other
245698,0,6000,51000,86125,TruckPr,6,0,0,222.1666667,2,24,,GOVERNMENT
582834,0,6000,53227,68700,TruckPr,3,0,2,122.7333333,0,23,,COMMERCIAL
893549,0,6000,,43300,TruckPr,,,,100.9333333,,9,,Other
477576,0,6000,14000,61493,TruckPr,23,0,0,321.6333333,1,13,,FLEET
202710,1,6000,40000,54600,TruckPr,4,0,4,101.4,0,19,,GOVERNMENT
